program;partysize;latencies(ms);bandwidths(Mbs);input_size;runtime_internal(s);Bytes Send;runtimeExternal(s);RAMused(MB);System Time (s)
UseCases/NeuralNetworkLeNet;3;1;25000;1;0:00:02.690;13779911;3.00;148432;4.27
UseCases/NeuralNetworkLeNet;3;1;25000;16;0:00:45.989;220228199;46.27;1279828;7.92
UseCases/NeuralNetworkLeNet;3;1;25000;64;0:03:16.513;880859850;196.71;4669416;21.80
UseCases/NeuralNetworkLeNet;3;1;25000;128;0:05:21.736;1761704451;321.92;9488092;39.99
UseCases/NeuralNetworkLeNet;3;1;10000;1;0:00:02.060;13779914;2.32;121672;4.23
UseCases/NeuralNetworkLeNet;3;1;10000;16;0:00:41.558;220227483;41.85;1279952;8.08
UseCases/NeuralNetworkLeNet;3;1;10000;64;0:02:56.414;880860851;176.70;4807484;21.84
UseCases/NeuralNetworkLeNet;3;1;10000;128;0:06:33.455;1761704553;393.73;9483144;40.79
UseCases/NeuralNetworkLeNet;3;1;1000;1;0:00:02.566;13780008;2.85;137116;4.20
UseCases/NeuralNetworkLeNet;3;1;1000;16;0:00:36.067;220227586;36.34;1266272;7.96
UseCases/NeuralNetworkLeNet;3;1;1000;64;0:02:56.072;880860272;176.25;4816616;22.49
UseCases/NeuralNetworkLeNet;3;1;1000;128;0:05:57.103;1761705163;357.35;9507340;41.22
UseCases/NeuralNetworkLeNet;3;1;100;1;0:00:03.431;13780078;3.63;127764;4.36
UseCases/NeuralNetworkLeNet;3;1;100;16;0:00:52.944;220227396;53.23;1241784;8.34
UseCases/NeuralNetworkLeNet;3;1;100;64;0:03:59.344;880861935;239.62;4824392;24.26
UseCases/NeuralNetworkLeNet;3;1;100;128;0:07:50.452;1761704086;470.73;9505220;42.67
UseCases/NeuralNetworkLeNet;3;30;25000;1;0:00:02.282;13779926;2.47;124268;4.23
UseCases/NeuralNetworkLeNet;3;30;25000;16;0:00:42.431;220227311;42.71;1197580;7.78
UseCases/NeuralNetworkLeNet;3;30;25000;64;0:03:21.758;880860611;201.94;4786488;21.42
UseCases/NeuralNetworkLeNet;3;30;25000;128;0:06:37.610;1761703577;397.89;9606224;40.19
UseCases/NeuralNetworkLeNet;3;30;10000;1;0:00:02.296;13780173;2.58;123920;4.26
UseCases/NeuralNetworkLeNet;3;30;10000;16;0:00:42.399;220227382;42.65;1281344;7.91
UseCases/NeuralNetworkLeNet;3;30;10000;64;0:03:22.271;880859848;202.52;4776716;21.72
UseCases/NeuralNetworkLeNet;3;30;10000;128;0:06:31.281;1761705038;391.56;9420296;39.94
UseCases/NeuralNetworkLeNet;3;30;1000;1;0:00:02.551;13780031;2.83;120388;4.31
UseCases/NeuralNetworkLeNet;3;30;1000;16;0:00:39.679;220227079;39.87;1240992;8.25
UseCases/NeuralNetworkLeNet;3;30;1000;64;0:02:40.902;880860567;161.19;4811108;22.03
UseCases/NeuralNetworkLeNet;3;30;1000;128;0:05:10.796;1761703836;311.08;9517636;41.19
UseCases/NeuralNetworkLeNet;3;30;100;1;0:00:02.673;13780165;2.86;123364;4.27
UseCases/NeuralNetworkLeNet;3;30;100;16;0:00:50.587;220227850;50.76;1249132;8.02
UseCases/NeuralNetworkLeNet;3;30;100;64;0:03:18.359;880860778;198.55;4815716;23.27
UseCases/NeuralNetworkLeNet;3;30;100;128;0:07:08.304;1761705658;428.48;9523824;43.95
UseCases/NeuralNetworkLeNet;3;100;25000;1;0:00:02.287;13780101;2.55;124776;4.28
UseCases/NeuralNetworkLeNet;3;100;25000;16;0:00:46.551;220227380;46.74;1212724;7.95
UseCases/NeuralNetworkLeNet;3;100;25000;64;0:03:20.454;880860273;200.63;4876556;21.66
UseCases/NeuralNetworkLeNet;3;100;25000;128;0:06:36.221;1761704059;396.41;9247272;39.53
UseCases/NeuralNetworkLeNet;3;100;10000;1;0:00:02.473;13780157;2.76;125672;4.32
UseCases/NeuralNetworkLeNet;3;100;10000;16;0:00:42.886;220227662;43.17;1276824;8.15
UseCases/NeuralNetworkLeNet;3;100;10000;64;0:02:50.397;880860478;170.65;4805552;21.46
UseCases/NeuralNetworkLeNet;3;100;10000;128;0:06:40.732;1761703590;401.00;9498076;40.43
UseCases/NeuralNetworkLeNet;3;100;1000;1;0:00:03.558;13780216;3.84;132288;4.32
UseCases/NeuralNetworkLeNet;3;100;1000;16;0:00:42.482;220227456;42.67;1252364;8.13
UseCases/NeuralNetworkLeNet;3;100;1000;64;0:02:40.351;880859590;160.53;4824132;21.59
UseCases/NeuralNetworkLeNet;3;100;1000;128;0:05:55.255;1761702445;355.54;9502460;41.48
UseCases/NeuralNetworkLeNet;3;100;100;1;0:00:02.453;13780048;2.71;143096;4.31
UseCases/NeuralNetworkLeNet;3;100;100;16;0:00:45.788;220227599;46.04;1246716;8.38
UseCases/NeuralNetworkLeNet;3;100;100;64;0:03:21.104;880860105;201.38;4825292;23.49
UseCases/NeuralNetworkLeNet;3;100;100;128;0:06:32.011;1761703123;392.20;9510924;44.33
UseCases/NeuralNetworkLeNet;3;150;25000;1;0:00:03.511;13780089;3.78;141400;4.23
UseCases/NeuralNetworkLeNet;3;150;25000;16;0:00:43.278;220227984;43.54;1287384;7.86
UseCases/NeuralNetworkLeNet;3;150;25000;64;0:02:54.537;880860497;174.80;4635452;21.36
UseCases/NeuralNetworkLeNet;3;150;25000;128;0:07:02.978;1761706089;423.22;9681420;39.93
UseCases/NeuralNetworkLeNet;3;150;10000;1;0:00:02.131;13780086;2.39;130640;4.41
UseCases/NeuralNetworkLeNet;3;150;10000;16;0:00:39.457;220227137;39.73;1260396;8.09
UseCases/NeuralNetworkLeNet;3;150;10000;64;0:03:12.138;880859946;192.42;4720708;22.33
UseCases/NeuralNetworkLeNet;3;150;10000;128;0:06:39.018;1761705787;399.29;9511800;40.19
UseCases/NeuralNetworkLeNet;3;150;1000;1;0:00:03.129;13780001;3.32;135876;4.34
UseCases/NeuralNetworkLeNet;3;150;1000;16;0:00:46.296;220228276;46.56;1259508;8.36
UseCases/NeuralNetworkLeNet;3;150;1000;64;0:02:43.986;880860402;164.27;4810536;22.18
UseCases/NeuralNetworkLeNet;3;150;1000;128;0:05:19.660;1761703746;319.85;9521336;41.32
UseCases/NeuralNetworkLeNet;3;150;100;1;0:00:02.525;13780217;2.78;124584;4.26
UseCases/NeuralNetworkLeNet;3;150;100;16;0:00:48.320;220227716;48.61;1248336;8.16
UseCases/NeuralNetworkLeNet;3;150;100;64;0:03:37.979;880861089;218.26;4808876;24.22
UseCases/NeuralNetworkLeNet;3;150;100;128;0:06:36.447;1761704715;396.63;9529556;43.08
